Rk,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
38,RJ Barrett,24,TOR,SF,55,55,32.7,8.1,17.0,.473,1.9,5.3,.359,6.2,11.8,.524,.528,3.5,5.4,.639,1.0,5.4,6.4,5.6,0.8,0.3,3.0,2.5,21.5
53,Scottie Barnes,23,TOR,PF,61,61,33.1,7.2,16.3,.442,1.2,4.4,.265,6.0,11.9,.507,.477,3.6,4.7,.768,1.7,6.0,7.7,5.9,1.5,1.0,2.9,1.8,19.2
75,Immanuel Quickley,25,TOR,PG,31,31,28.2,5.7,13.4,.423,2.6,6.8,.382,3.1,6.6,.466,.520,3.5,4.1,.865,0.5,3.0,3.5,5.9,0.7,0.1,1.8,1.9,17.5
98,Jakob Poeltl,29,TOR,C,56,55,29.6,6.4,10.1,.630,0.0,0.1,.333,6.4,10.1,.632,.631,1.7,2.6,.674,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,14.5
100,Gradey Dick,21,TOR,SG,54,54,29.4,4.9,12.0,.410,2.1,6.0,.350,2.8,5.9,.470,.498,2.5,2.9,.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4
184,Ochai Agbaji,24,TOR,SG,60,42,26.9,4.0,8.0,.496,1.5,3.8,.389,2.5,4.3,.590,.587,0.6,0.8,.702,0.9,2.9,3.8,1.6,0.8,0.5,0.8,1.9,10.0
185,Chris Boucher,32,TOR,PF,50,0,17.2,3.6,7.4,.492,1.4,3.9,.363,2.2,3.5,.633,.586,1.4,1.7,.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10.0
231,Kelly Olynyk,33,TOR,C,24,2,16.0,2.5,4.9,.500,0.8,1.8,.442,1.7,3.1,.533,.581,1.4,1.8,.791,1.0,2.7,3.7,2.3,0.7,0.3,1.5,2.5,7.1
244,Ja'Kobe Walter,20,TOR,SG,49,15,20.9,3.0,7.4,.401,1.2,3.4,.343,1.8,4.0,.451,.481,1.2,1.6,.779,1.1,1.9,3.0,1.5,0.8,0.2,0.9,1.8,8.4
246,Bruce Brown,28,TOR,PG,18,0,19.6,3.2,7.3,.435,0.6,2.0,.306,2.6,5.3,.484,.477,1.4,1.6,.897,0.9,2.8,3.8,1.6,0.9,0.2,1.1,1.4,8.4
259,A.J. Lawson,24,TOR,SG,20,2,17.1,2.8,7.0,.400,1.3,4.0,.329,1.5,3.1,.492,.493,1.2,1.8,.639,0.7,2.5,3.2,0.9,0.3,0.2,0.4,1.6,8.1
269,Davion Mitchell,26,TOR,PG,44,22,24.5,2.4,5.5,.434,1.0,2.7,.359,1.5,2.9,.504,.520,0.6,0.8,.676,0.4,1.6,1.9,4.6,0.7,0.2,1.8,2.6,6.3
280,Jared Rhoden,25,TOR,SG,7,2,21.6,3.6,7.9,.455,1.3,3.9,.333,2.3,4.0,.571,.536,2.3,2.7,.842,1.3,2.4,3.7,1.0,0.9,0.3,0.9,1.7,10.7
298,Jamal Shead,22,TOR,PG,70,7,18.8,2.6,6.4,.412,0.9,2.9,.325,1.7,3.6,.482,.484,0.6,0.8,.763,0.4,1.1,1.5,4.0,0.7,0.1,1.5,2.0,6.9
306,Orlando Robinson,24,TOR,C,31,6,19.8,3.0,6.7,.445,0.5,1.2,.368,2.5,5.5,.462,.478,1.5,1.8,.818,2.3,3.5,5.8,1.9,0.4,0.5,1.2,2.6,7.9
312,Jamison Battle,23,TOR,SF,53,7,16.4,2.3,5.4,.422,1.6,4.0,.399,0.7,1.4,.486,.570,0.3,0.3,.889,0.6,1.9,2.5,0.9,0.2,0.2,0.4,1.4,6.5
346,Jonathan Mogbo,23,TOR,PF,57,13,19.1,2.2,5.0,.440,0.3,1.0,.281,1.9,4.0,.480,.468,1.0,1.4,.727,1.7,2.8,4.5,1.8,0.8,0.5,0.9,2.1,5.6
369,Cole Swider,25,TOR,SF,4,0,19.5,2.8,6.8,.407,1.8,5.3,.333,1.0,1.5,.667,.537,0.0,0.3,.000,0.5,1.8,2.3,0.0,0.5,0.3,0.0,1.5,7.3
401,Colin Castleton,24,TOR,C,10,4,25.9,2.7,5.7,.474,0.2,0.8,.250,2.5,4.9,.510,.491,1.3,1.7,.765,3.3,4.1,7.4,1.8,0.6,0.8,2.1,2.6,6.9
440,Bruno Fernando,26,TOR,C,17,2,8.6,1.5,2.9,.531,0.0,0.0,,1.5,2.9,.531,.531,0.4,0.5,.750,1.2,1.8,3.0,1.1,0.2,0.5,0.8,1.6,3.4
519,Garrett Temple,38,TOR,SG,25,0,7.3,0.4,1.7,.214,0.2,0.8,.250,0.2,0.9,.182,.274,0.4,0.4,.900,0.2,0.8,1.0,1.0,0.6,0.1,0.4,0.9,1.3
534,D.J. Carton,24,TOR,SG,4,0,8.3,0.3,1.8,.143,0.0,0.8,.000,0.3,1.0,.250,.143,0.3,0.3,1.000,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.3,0.8
540,Ulrich Chomche,19,TOR,PF,7,0,4.6,0.3,0.7,.400,0.0,0.0,,0.3,0.7,.400,.400,0.1,0.3,.500,0.6,0.6,1.1,0.3,0.0,0.1,0.3,0.7,0.7
